experiment,basis_id,mse,rmse,mae,r2,relative_l2,grad_mse,max_abs_error,n_samples
full_model,4,0.0120376998092979,0.1097164518625074,0.0370173458755016,0.9318861067295074,0.2602021908760071,0.0416232155263423,1.7846806049346924,100
ablation_no_fno,4,0.0093388103414326,0.0966375203605343,0.0393422250449657,0.9471342116594316,0.2289455664157867,0.0311590059101581,1.7934503555297852,100
ablation_no_attention,4,0.0130077856592834,0.1140516797740541,0.0392260448634624,0.9264236837625504,0.2729930377006531,0.0461278456449508,1.7919588088989258,100
ablation_no_gradient_loss,4,0.012893975013867,0.1135516402958011,0.0384626910090446,0.9270989298820496,0.2699305534362793,0.0450899583101272,1.785915493965149,100
