experiment,basis_id,mse,rmse,mae,r2,relative_l2,grad_mse,max_abs_error,n_samples
full_model,4,0.1745425537228584,0.4177829026215152,0.3309463709592819,0.0193229392170906,0.9902787804603576,0.3572810590267181,1.0797829627990725,16
ablation_no_fno,4,0.1600895747542381,0.4001119527760176,0.3157074600458145,0.1005062088370323,0.9483892023563384,0.3380478769540787,1.3511584997177124,16
ablation_no_attention,4,0.1749777868390083,0.418303462618956,0.3336412012577057,0.0168444849550724,0.9915246367454528,0.3494362235069275,1.3217467069625854,16
ablation_no_gradient_loss,4,0.1711849346756935,0.4137450116626103,0.3303480297327041,0.0381835512816906,0.9807078540325164,0.3541226983070373,1.0759108066558838,16
